Product Name,Description,Price,Brand,Main Feature,Energy Efficiency Rating
Super Blend X1,High-power blender with 10 speed settings and pulse function,89.99,KitchenMaster,Variable Speed Control,A+
Toast-O-Matic 2000,4-slice toaster with bagel and defrost functions,49.99,BreakfastPro,Extra-Wide Slots,A
BrewMaster Elite,Programmable coffee maker with 12-cup capacity,79.99,MorningJoe,24-Hour Programmability,A++
QuickChef Microwave,1000W microwave with 10 power levels and child lock,129.99,QuickChef,One-Touch Cooking,A+
FridgeFresh XL,Side-by-side refrigerator with water and ice dispenser,999.99,CoolTech,In-Door Ice Maker,A+++
DishPro 5000,Quiet dishwasher with 14 place settings and 6 wash cycles,549.99,CleanKing,Half Load Option,A++
SteamPress Pro,Steam iron with ceramic soleplate and vertical steam function,39.99,IronMaster,Anti-Drip System,A
AirCool Deluxe,Portable air conditioner with remote control and timer,299.99,ClimateControl,Dehumidifier Mode,A+
WashMaster Front Load,Front-loading washing machine with 8kg capacity,449.99,LaundryPro,Steam Clean Function,A+++
VacuumPlus Robot,Robot vacuum cleaner with mapping technology and app control,299.99,CleanSweep,Self-Emptying Bin,A++
GrillMaster 3000,Electric indoor grill with removable plates and temperature control,89.99,BBQKing,Dishwasher-Safe Plates,A
SlowCook Deluxe,6-quart programmable slow cooker with digital display,69.99,SimmerPro,Delay Start Function,A+
FryAir Max,Air fryer with 5.5L capacity and 7 preset cooking functions,119.99,HealthyCook,Rapid Air Technology,A++
WaterPure Filter Jug,Water filter jug with 2.4L capacity and LCD indicator,29.99,AquaPure,4-Stage Filtration,N/A
EspressoPlus Machine,15-bar pump espresso machine with milk frother,159.99,CaffeItaliano,Dual Thermoblock System,A
ToastOven Combo,Toaster oven with convection and air fry functions,129.99,VersaCook,10 Cooking Functions,A+
SmoothiePro Personal,Personal blender with travel cup and spill-proof lid,39.99,BlendMaster,BPA-Free Materials,A
RiceCook Perfect,Rice cooker with fuzzy logic technology and steamer basket,89.99,GrainGourmet,Keep Warm Function,A++
KettleQuick Electric,1.7L electric kettle with temperature control and keep warm function,49.99,TeaTime,Multiple Temperature Settings,A+
StandMix Pro,Stand mixer with 5-quart bowl and planetary mixing action,249.99,BakeBoss,10-Speed Control,A
JuicePro Centrifugal,Centrifugal juicer with wide chute and pulp container,79.99,FruitFusion,Anti-Drip Spout,A+
PaniniPress Deluxe,Panini press with adjustable height and floating hinge,59.99,SandwichKing,Non-Stick Plates,A
FoodProcess Champion,Food processor with 8-cup capacity and multiple attachments,99.99,ChopMaster,Dough Blade Included,A+
SousVide Precision,Sous vide precision cooker with WiFi connectivity,199.99,GourmetTech,App-Controlled Cooking,A++
InstantPot Multi,7-in-1 electric pressure cooker with 6-quart capacity,89.99,QuickMeal,14 One-Touch Programs,A+
WafflePro Belgian,Belgian waffle maker with adjustable browning control,49.99,BreakfastChamp,Overflow Channel,A
HandMix Turbo,Hand mixer with turbo boost and storage case,34.99,MixMaster,5 Speed Settings,A+
SteamVeg Pro,Food steamer with 3-tier stackable baskets,44.99,HealthSteam,60-Minute Timer,A++
IceCream Maker Deluxe,1.5-quart ice cream maker with recipe book,69.99,FrozenTreats,Double-Insulated Bowl,A
DehydratorMax,Food dehydrator with 6 trays and digital controls,89.99,PreservePro,Adjustable Temperature,A+
ElectricKnife Carver,Electric carving knife with ergonomic handle,29.99,SliceMaster,Dual Serrated Blades,A
PastaMaker Automatic,Automatic pasta maker with 8 shaping discs,179.99,PastaProfi,Built-In Scale,A++
PopcornAir Cinema,Hot air popcorn maker with butter melting tray,34.99,MovieNight,No Oil Required,A+
EggBoil Perfect,Egg cooker with 7-egg capacity and auto shut-off,24.99,BreakfastEase,Poaching Tray Included,A
BreadMaker Artisan,2-pound bread maker with gluten-free setting,129.99,HomeBakery,13-Hour Delay Timer,A++
SodaStream Fizz,Sparkling water maker with CO2 cylinder and reusable bottle,89.99,BubbleMax,No Electricity Required,N/A
CrepeMaker Pro,Electric crepe maker with non-stick surface and spreader,39.99,FrenchCuisine,Temperature Control Dial,A
YogurtMaker Fresh,Yogurt maker with 7 glass jars and digital timer,29.99,ProBiotic,Auto Shut-Off,A+
HotPlate Dual,Double hot plate with independent temperature controls,49.99,CookTop,Cast Iron Burners,A
FonduePot Electric,Electric fondue pot with temperature control and 8 forks,59.99,MeltMaster,Dishwasher-Safe Pot,A+
CanOpener TouchFree,Electric can opener with hands-free operation,24.99,EasyOpen,Magnetic Lid Holder,A
NutriExtract Pro,Nutrient extractor with personal blending cups,79.99,VitaBlend,BPA-Free Tritan Cups,A++
SealFresh Vacuum,Food vacuum sealer with built-in cutter and roll storage,69.99,FreshKeeper,Moist/Dry Food Settings,A+
WokElectric Smart,Electric wok with temperature probe and cool-touch handles,79.99,AsianFusion,15 Temperature Settings,A++
OvenToaster Rotisserie,Toaster oven with rotisserie function and convection,149.99,RoastMaster,Interior Light,A+
GarlicPress Electric,Electric garlic press with chopper attachment,19.99,FlavorBoost,Dishwasher-Safe Parts,A
ScalePrecision Digital,Digital kitchen scale with tare function and LCD display,24.99,MeasurePro,0.1g Precision,A+
TeaPot Electric,Electric tea kettle with temperature control and keep warm,59.99,TeaConnoisseur,6 Preset Temperatures,A++
CoffeGrind Burr,Burr coffee grinder with 18 grind settings,69.99,BeanMaster,Conical Burr Grinder,A
